data,rain_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,windspeed_10m_max,et0_fao_evapotranspiration,shortwave_radiation_sum,precip_acum_3d,precip_acum_7d,precip_acum_14d,rain_lag1,rain_lag2,rain_trend
2026-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-17,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-18,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-22,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-27,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,0.0,0.0,0.0,0.0,16.6,16.6,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,0.0,0.0,0.0,4.0,24.8,15.5,19.1,76.0,13.6,4.45,24.16,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,0.0,0.0,0.0,2.0,25.7,15.2,19.8,75.0,13.0,4.92,26.4,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,0.0,0.0,0.0,2.0,26.2,16.4,20.5,75.0,11.8,5.06,27.16,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,1.5,1.8,5.0,76.0,30.0,18.2,22.4,74.0,12.5,4.41,21.68,1.8,1.8,1.8,0.0,0.0,1.5
2026-03-06,0.8,2.4,6.0,100.0,29.5,20.5,23.4,78.0,9.3,3.45,16.74,4.2,4.2,4.2,1.5,0.0,-0.7
2026-03-07,4.5,32.2,12.0,100.0,27.3,20.0,22.5,87.0,12.0,3.71,19.67,36.400000000000006,36.400000000000006,36.400000000000006,0.8,1.5,3.7
2026-03-08,1.4,6.7,8.0,100.0,27.0,19.2,21.9,83.0,13.0,3.56,19.0,41.30000000000001,43.10000000000001,43.10000000000001,4.5,0.8,-3.1
2026-03-09,7.3,7.7,13.0,100.0,22.5,18.7,20.2,90.0,13.5,1.85,9.59,46.6,50.8,50.8,1.4,4.5,5.9
2026-03-10,14.4,17.2,24.0,100.0,21.0,18.4,19.5,93.0,8.2,1.27,6.23,31.6,68.0,68.0,7.3,1.4,7.1000000000000005
2026-03-11,12.6,15.8,24.0,100.0,22.4,18.9,20.0,93.0,8.8,1.45,7.12,40.7,83.80000000000001,83.80000000000001,14.4,7.3,-1.8000000000000007
